ID,NAME,TYPE,ADDRESS,INDEX
416385,7 RIVERS A TEXAS KITCHEN,(001) Restaurant - Full Service,"1855 BARKER CYPRESS STE 100, HOUSTON, TX 77084",1
215780,A&M MINI MART,(002) Restaurant - Single Service,"6830 CULLEN, HOUSTON, TX 77021",1
914854,AIRPORT SHELL'S SERVICE STATION,(002) Restaurant - Single Service,"15930 JOHN F. KENNEDY BLVD, HOUSTON, TX 77032",1
970057,AIRWAY FOOD MART (Shell Gasohne),(002) Restaurant - Single Service,"2201 GREENS, HOUSTON, TX 77032",1
910116,AMERICA FIRST SERVICES / HPD CAFE,(002) Restaurant - Single Service,"61 RIESNER ST, HOUSTON, TX 77002",1
212556,AMILLES COFFEE,(002) Restaurant - Single Service,"333 CLAY STE LOBBY, HOUSTON, TX 77002",1
417874,AMOGH GELATO BLUE,(002) Restaurant - Single Service,"914 MAIN ST, HOUSTON, TX 77002",1
992082,ANGELO'S PIZZA,(002) Restaurant - Single Service,"5414 BIRDWOOD RD, HOUSTON, TX 77096",1
412757,ANTOJITOS SALVADORENOS RESTAURANT,(001) Restaurant - Full Service,"1011 TELEPHONE RD, HOUSTON, TX 77023",1
409237,ARBY'S,(002) Restaurant - Single Service,"8611 WESTHEIMER RD, HOUSTON, TX 77063",1
400471,AUNTIE ANNE'S PRETZELS,(002) Restaurant - Single Service,"500 BAYBROOK MALL STE 1145, FRIENDSWOOD, TX 77546",1
408878,B.B.'S KITCHEN,(001) Restaurant - Full Service,"2710 MONTROSE BLVD STE A, HOUSTON, TX 77006",1
416191,B.B.Q. GARDEN KOREAN RESTAURANT,(001) Restaurant - Full Service,"1949 GESSNER DR, HOUSTON, TX 77080",1
992917,BASKIN ROBBINS # 901,(002) Restaurant - Single Service,"12740 MEMORIAL, HOUSTON, TX 77024",1
220093,BASKIN ROBBINS #339253,(002) Restaurant - Single Service,"11660 WESTHEIMER STE 109, HOUSTON, TX 77077",1
976984,BASKINS ROBBINS #3952,(002) Restaurant - Single Service,"2431 UNIVERSITY BLVD, HOUSTON, TX 77005",1
916344,BAYOU CLUB OF HOUSTON,(001) Restaurant - Full Service,"8550 MEMORIAL, HOUSTON, TX 77024",1
414992,BEANS CAFE',(002) Restaurant - Single Service,"1127 ELDRIDGE PKWY STE 100, HOUSTON, TX 77077",1
422589,BELLAIRE CAFE,(001) Restaurant - Full Service,"11210 BELLAIRE STE 128, HOUSTON, TX 77072",1
912195,BENTKE'S DRIVE-IN,(002) Restaurant - Single Service,"4102 CANAL, HOUSTON, TX 77003",1
213641,BEST WESTERN FOUNTAINVIEW INN,(002) Restaurant - Single Service,"6229 RICHMOND BLVD, HOUSTON, TX 77057",1
992543,BEST WESTERN INN & SUITES,(002) Restaurant - Single Service,"11611 NORTHWEST FWY, HOUSTON, TX 77092",1
978374,BEST WESTERN WESTCHASE SUITES,(002) Restaurant - Single Service,"2950 W SAM HOUSTON PKWY S, HOUSTON, TX 77042",1
414061,BIG BURGER -V-,(002) Restaurant - Single Service,"11207 W HARDY RD, HOUSTON, TX 77076",1
422567,BON FIRE WINGS,(002) Restaurant - Single Service,"3991 S GESSNER, HOUSTON, TX 77063",1
992177,BROTHERS PIZZERIA,(001) Restaurant - Full Service,"1029 N HIGHWAY 6 STE 100, HOUSTON, TX 77079",1
941782,BROTHERS SNACKS(inside Family Protective Service ),(002) Restaurant - Single Service,"9111 EASTEX FWY STE 420, HOUSTON, TX 77093",1
218503,BROWN BAG DELI,(002) Restaurant - Single Service,"2036 WESTHEIMER STE D, HOUSTON, TX 77098",1
417709,BUNGALOW,(002) Restaurant - Single Service,"1219 MARCONI, HOUSTON, TX 77019",1
412342,BURGER HOUSE,(001) Restaurant - Full Service,"12430 OLD GALVESTON RD STE A8, HOUSTON, TX 77598",1
417656,BURGER KING,(002) Restaurant - Single Service,"1154 EDGEBROOK, HOUSTON, TX 77034",1
404729,BURGER KING,(002) Restaurant - Single Service,"10414 RICHMOND STE B, HOUSTON, TX 77042",1
419940,BURGER KING # 1276,(002) Restaurant - Single Service,"12716 HEMPSTEAD RD, HOUSTON, TX 77092",1
419944,BURGER KING # 5877,(002) Restaurant - Single Service,"3730 SCOTT ST, HOUSTON, TX 77004",1
409918,BURGER KING #16854,(002) Restaurant - Single Service,"330 W LITTLE YORK STE A, HOUSTON, TX 77076",1
222395,C D MARKET,(002) Restaurant - Single Service,"1910 DISMUKE, HOUSTON, TX 77023",1
413509,CAFE CHINO,(001) Restaurant - Full Service,"3285 SOUTHWEST FWY, HOUSTON, TX 77027",1
419735,CAFE EXPRESS,(001) Restaurant - Full Service,"1111 ELDRIDGE PKWY STE 100, HOUSTON, TX 77077",1
408079,CAFE EXPRESS,(001) Restaurant - Full Service,"1422 W GRAY, HOUSTON, TX 77019",1
973637,CALLIE'S PLACE,(002) Restaurant - Single Service,"19008 SAUMS RD, HOUSTON, TX 77084",1
206632,CAR SPA,(002) Restaurant - Single Service,"2801 BRAZOS, HOUSTON, TX 77006",1
419535,CASABLANCA PARTY HOUSE,(002) Restaurant - Single Service,"1517 GEARS RD STE N, HOUSTON, TX 77067",1
220938,"CATERING KITCHEN AKIN,GUMP,STR",(001) Restaurant - Full Service,"1111 LOUISANA STE 44, HOUSTON, TX 77002",1
423305,CHARLIE'S TAQUERIA & REFRESQUERIA,(002) Restaurant - Single Service,"7442 1/2 DALLAS, HOUSTON, TX 77011",1
916226,"CHARLIES FOOD MARKET, INC.",(002) Restaurant - Single Service,"2220 MCGOWEN, HOUSTON, TX 77004",1
420835,CHILE AND LIME REFRESQUERIA,(002) Restaurant - Single Service,"10812 W BELLFORT, HOUSTON, TX 77099",1
920755,CHIMNEY ROCK EXXON,(002) Restaurant - Single Service,"5601 SOUTHWEST FWY, HOUSTON, TX 77057",1
919504,CHRISTIE'S,(001) Restaurant - Full Service,"6029 WESTHEIMER, HOUSTON, TX 77057",1
991098,CHURCH'S CHICKEN,(002) Restaurant - Single Service,"2702 YALE, HOUSTON, TX 77008",1
985479,CHURCH'S CHICKEN,(002) Restaurant - Single Service,"5600 MYKAWA RD, HOUSTON, TX 77033",1
416849,CHURCH'S CHICKEN,(002) Restaurant - Single Service,"3501 JENSEN, HOUSTON, TX 77026-3509",1
419022,CHURCH'S CHICKEN,(002) Restaurant - Single Service,"7895 W TIDWELL RD, HOUSTON, TX 77040",1
411672,CITILINE DELI #10,(002) Restaurant - Single Service,"757 N ELDRIGE PKWY STE 175, HOUSTON, TX 77079",1
220905,COASTAL EXPRESS,(002) Restaurant - Single Service,"3835 REVEILLE, HOUSTON, TX 77087",1
413183,COLD STONE CREAMERY #859,(002) Restaurant - Single Service,"706 KINGWOOD DR, KINGWOOD, TX 77339",1
